query,value,keyword,ranking,geo,query_timestamp,query_date,t,rank_t,rank_t-1,rank_absolute_change,rank_absoulte_change_ranking,rank_pct_t,rank_pct_t-1,rank_pct_change,new_entry_t,dropout_t+1
esg investing,100,esg,top,global,2021-02-27 21:37:54.725496,2021-02-27,6,1.0,0.0,0.0,0.0,0.01282051282051282,0.0,0.0,1,0
esg fund,78,esg,top,global,2021-02-27 21:37:54.725496,2021-02-27,6,9.0,0.0,0.0,0.0,0.11538461538461539,0.0,0.0,1,0
msci esg,63,esg,top,global,2021-02-27 21:37:54.725496,2021-02-27,6,10.0,0.0,0.0,0.0,0.1282051282051282,0.0,0.0,1,0
msci,62,esg,top,global,2021-02-27 21:37:54.725496,2021-02-27,6,11.0,0.0,0.0,0.0,0.14102564102564102,0.0,0.0,1,0
esg etf,44,esg,top,global,2021-02-27 21:37:54.725496,2021-02-27,6,15.0,0.0,0.0,0.0,0.19230769230769232,0.0,0.0,1,0
esg funds,44,esg,top,global,2021-02-27 21:37:54.725496,2021-02-27,6,16.0,0.0,0.0,0.0,0.20512820512820512,0.0,0.0,1,0
esg meaning,41,esg,top,global,2021-02-27 21:37:54.725496,2021-02-27,6,19.0,0.0,0.0,0.0,0.24358974358974358,0.0,0.0,1,0
esg investment,41,esg,top,global,2021-02-27 21:37:54.725496,2021-02-27,6,20.0,0.0,0.0,0.0,0.2564102564102564,0.0,0.0,1,0
what is esg,40,esg,top,global,2021-02-27 21:37:54.725496,2021-02-27,6,21.0,0.0,0.0,0.0,0.2692307692307692,0.0,0.0,1,0
esg index,36,esg,top,global,2021-02-27 21:37:54.725496,2021-02-27,6,23.0,0.0,0.0,0.0,0.2948717948717949,0.0,0.0,1,0
esg report,36,esg,top,global,2021-02-27 21:37:54.725496,2021-02-27,6,24.0,0.0,0.0,0.0,0.3076923076923077,0.0,0.0,1,0
esg finance,35,esg,top,global,2021-02-27 21:37:54.725496,2021-02-27,6,25.0,0.0,0.0,0.0,0.32051282051282054,0.0,0.0,1,0
esg global,34,esg,top,global,2021-02-27 21:37:54.725496,2021-02-27,6,28.0,0.0,0.0,0.0,0.358974358974359,0.0,0.0,1,0
mba esg,33,esg,top,global,2021-02-27 21:37:54.725496,2021-02-27,6,30.0,0.0,0.0,0.0,0.38461538461538464,0.0,0.0,1,0
esg sustainability,32,esg,top,global,2021-02-27 21:37:54.725496,2021-02-27,6,32.0,0.0,0.0,0.0,0.41025641025641024,0.0,0.0,1,0
sustainability,30,esg,top,global,2021-02-27 21:37:54.725496,2021-02-27,6,34.0,0.0,0.0,0.0,0.4358974358974359,0.0,0.0,1,0
esg paris,27,esg,top,global,2021-02-27 21:37:54.725496,2021-02-27,6,37.0,0.0,0.0,0.0,0.47435897435897434,0.0,0.0,1,0
esg rating,26,esg,top,global,2021-02-27 21:37:54.725496,2021-02-27,6,40.0,0.0,0.0,0.0,0.5128205128205128,0.0,0.0,1,0
esg group,25,esg,top,global,2021-02-27 21:37:54.725496,2021-02-27,6,41.0,0.0,0.0,0.0,0.5256410256410257,0.0,0.0,1,0
esg uqam,25,esg,top,global,2021-02-27 21:37:54.725496,2021-02-27,6,42.0,0.0,0.0,0.0,0.5384615384615384,0.0,0.0,1,0
esg stock,24,esg,top,global,2021-02-27 21:37:54.725496,2021-02-27,6,44.0,0.0,0.0,0.0,0.5641025641025641,0.0,0.0,1,0
esg reporting,23,esg,top,global,2021-02-27 21:37:54.725496,2021-02-27,6,46.0,0.0,0.0,0.0,0.5897435897435898,0.0,0.0,1,0
eu sustainable finance,100,sustainable finance,top,global,2021-02-27 21:37:54.732471,2021-02-27,6,2.0,0.0,0.0,0.0,0.02564102564102564,0.0,0.0,1,0
sustainable development,100,sustainable finance,top,global,2021-02-27 21:37:54.732471,2021-02-27,6,3.0,0.0,0.0,0.0,0.038461538461538464,0.0,0.0,1,0
taxonomy,47,sustainable finance,top,global,2021-02-27 21:37:54.732471,2021-02-27,6,13.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,1,0
sustainable finance action plan,45,sustainable finance,top,global,2021-02-27 21:37:54.732471,2021-02-27,6,14.0,0.0,0.0,0.0,0.1794871794871795,0.0,0.0,1,0
